Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,≤100
108824017345866,Facebook,"Facebook, Inc.",≤100
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
280034132055819,WhatsApp,WhatsApp Inc.,≤100
224684514243482,Tom Cotton,"COTTON FOR SENATE, INC.",≤100
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",≤100
20531316728,Facebook App,"Facebook, Inc.",≤100
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,≤100
36474716066,Color Of Change,ColorofChange.org,≤100
925007000949719,ExxonMobil,Exxon Mobil Corporation,≤100
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
1162286517277297,Canvass America,Canvass America,≤100
156968474833352,Stop Republicans,Stop Republicans,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
105756057589080,The Lincoln Project,The Lincoln Project,≤100
103560911106582,Ben Crump for Flint,Law Scout,≤100
627288151114676,Organization Abuse,X Social Media LLC,≤100
618480098621142,Social Security Event,Robert Jared Wilkins,≤100
7860876103,Joe Biden,BIDEN FOR PRESIDENT,≤100
111581497026836,Harris County Community Services Department- HCCSD,Harris County Community Services Department,≤100
1528980567353817,Love Has No Labels,Love Has No Labels with Facebook Ad Credits,≤100
367152833370567,Instagram,"Facebook, Inc.",≤100
125907387426944,Edelson P.C.,Edelson PC,≤100
6500552187,Hulu,"HULU, LLC",≤100
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,≤100
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,≤100
152561628240904,SEIU PA State Council,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),≤100
202626512363,U.S. Census Bureau,U.S. Census Bureau,≤100
103983379801,Texas Democratic Party,SUPER STATES 2020,≤100
750053788435485,Texas Oil and Gas Association,Texas Oil & Gas Association,≤100
127225910653607,PragerU,PragerU,≤100
161177032727,City of San Antonio - Municipal Government,City of San Antonio,≤100
102701451565513,Keep Dallas Safe,Keep Dallas Safe,≤100
105927651177869,Go Get Tested,WellHealth,≤100
104745474214057,HRA - OTC Birth Control,Corey Francis Mc Govern,≤100
20787991568,Senate Democrats,DSCC,≤100
115093490189362,Defend NC,Defend NC,≤100
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",≤100
537534316395916,Students for Trump,Turning Point Action,≤100
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,≤100
